ID,Rating,Votes,Title,author,publisher,pub_year,pages,price,binding,isbn,original_title,translator,subtitle,series,crawl_status,price_num,price_tier
5416832,7.6,4063,辛亥：摇晃的中国,张鸣,广西师范大学出版社,2011-1,344,29.80元,平装,9787549503247.0,,,,理想国·张鸣作品,success,29.8,20-30
27622171,7.4,4058,橘子不是唯一的水果,[英] 珍妮特·温特森,北京联合出版公司,2018-3,259,49.00元,精装,9787559614711.0,Oranges Are Not the Only Fruit,于是,,新经典文库：珍妮特·温特森作品,success,49.0,40-50
24829798,8.6,4057,解憂雜貨店,東野圭吾,皇冠,2013-8-5,352,NT$350,平装,9789573330127.0,ナミヤ雑貨店,王蘊潔 / 王蕴洁,,東野圭吾作品集,success,350.0,>200
5400595,7.8,4054,中国，少了一味药,慕容雪村,中国和平出版社,2010-12,246,32.80元,平装,9787513700665.0,,,,慕容雪村文集·2011年全新修订本,success,32.8,30-40
26578003,8.3,4054,无心法师 第一卷,尼罗,长江出版社,2015-7-1,294,CNY 29.80,平装,9787549235339.0,,,,无心法师,success,29.8,20-30
23010385,6.1,4051,空中杀人现场,[日] 东野圭吾,南海出版公司,2013-6,185,25.00元,平装,9787544257213.0,殺人現場は雲の上,杨婉蘅,,新经典文库·东野圭吾作品,success,25.0,20-30
1030470,7.9,4051,香草山,余杰,长江文艺出版社,2002-1,505,24.00元,平装,9787535422774.0,,,,,success,24.0,20-30
4037337,7.8,4049,一个人的欢喜与忧伤,笙离,中国画报出版社,2009-10,311,24.80元,平装,9787802205093.0,The sounds of silence,,,纸上偶像剧,success,24.8,20-30
11507862,8.2,4047,独自上场,李娜,中信出版社,2012-8,309,39.00元,平装,9787508633893.0,,,,,success,39.0,30-40
2375610,8.2,4047,流血的仕途·终结版,曹昇,中信出版社,2008-1-1,324,29.80元,平装,9787508610719.0,,,,流血的仕途,success,29.8,20-30
2280027,7.6,4047,自杀俱乐部,[英] 尼克·霍恩比,人民文学出版社,2007-10,293,21.00元,平装,9787020064496.0,a long way down,张坤,,,success,21.0,20-30
26434719,6.5,4045,你一年的8760小时,艾力,江苏凤凰文艺出版社,2015-8,,35,平装,9787539984476.0,,,,,success,35.0,30-40
4837447,7.2,4043,两只前夫一台戏,电线,国际文化出版公司,2010-6,278,26.80元,平装,9787512500310.0,,,,,success,26.8,20-30
1467239,9.1,4038,铳梦,[日] 木城幸人,東立,2002-2-17,,130(元),平裝,9789861107431.0,,方郁仁,,銃夢 LAST ORDER 最後的任務,success,130.0,100-200
1049361,8.3,4037,比我老的老头,黄永玉,作家出版社,2003-07,215,23.00,平装,9787506326308.0,,,,,success,23.0,20-30
1803641,8.9,4036,小公主,(英)伯内特 / [英国] 弗朗西丝·霍奇森·伯内特,外语教学与研究出版社,2006-1,260,9.90元,平装,9787560052465.0,A Little Princess,,,月亮石外国文学经典,success,9.9,<20
3065232,8.0,4036,藏地白皮书,傅真 / 毛铭基,人民文学出版社,2008-04-01,165,22.00元,平装,9787020065813.0,,,,,success,22.0,20-30
4878745,9.3,4034,动物农场,[英] 乔治·奥威尔,北京十月文艺出版社,2010-6,259,22.00元,精装,9787530210284.0,Animal farm,傅惟慈,,,success,22.0,20-30
1880824,8.6,4034,一千零一夜,方平等,上海译文出版社,2012-2,309,11.0,平装,9787532739684.0,ألف ليلة وليلة,方平 等,,译文名著文库,success,11.0,<20
27605902,7.5,4034,必须找到阿历克斯,皮耶尔·勒迈特,文汇出版社,2018-2,416,59.00,平装,9787549624102.0,Alex,金祎,,读客全球顶级畅销小说文库：皮耶尔·勒迈特作品,success,59.0,50-70
27094488,8.5,4033,过门,priest,,2016-10-1,144,16.90,平装,9787549827404.0,1~2岁潜能开发IQ EQ CQ: 全能升级版,,,,success,16.9,<20
1071227,9.0,4032,大问题,[美] 罗伯特·所罗门,广西师范大学出版社,2011-1,469,48.00元,平装,9787563345236.0,The Big Questions,张卜天,,,success,48.0,40-50
1038744,7.2,4030,来来往往,池莉,作家出版社,1998-08,188,12.00,平装,9787506314794.0,,,,,success,12.0,<20
25798623,9.3,4027,1984,[英] 乔治·奥威尔,译林出版社,2013-12,333,25.00,平装,9787544741835.0,,孙仲旭,,反乌托邦三部曲,success,25.0,20-30
1467382,8.3,4026,镜·龙战（上）,沧月,世界知识出版社,2006-1,231,20.00元,平装,9787501227372.0,,,,镜,success,20.0,<20
6759059,7.9,4025,二号首长2,黄晓阳,重庆出版社,2011-9,532,42.00元,平装,9787229042080.0,,,,二号首长,success,42.0,40-50
26416883,8.2,4024,乌合之众,［法］居斯塔夫·勒庞,浙江文艺出版社,2015-6,228,39.00元,精装,9787533941963.0,Psychologie des foules,胡小跃,,,success,39.0,30-40
1489494,8.5,4022,人与永恒,周国平,北岳文艺出版社,2006年2月1日,228,18.0,简精,9787537828369.0,,,,,success,18.0,<20
5394486,7.3,4021,爱情没那么美好,[法] 布里吉特·吉罗,上海人民出版社,2011-1,120,26.00元,精装,9787208095625.0,L&#39;amour est très surestimé,周小珊,,,success,26.0,20-30
20270670,8.2,4020,为何爱会伤人,武志红,北京联合出版公司,2012-12-1,263,39.00元,平装,9787550209671.0,,,,,success,39.0,30-40
3597031,9.1,4019,杀死一只反舌鸟,[美]哈珀·李,译林出版社,2009-2-1,332,25.00,平装,9787544702065.0,To Kill a Mocking Bird,高红梅,,,success,25.0,20-30
