publisher_clean,book_count,avg_rating,avg_bayesian,total_votes,median_price,year_range,books,pub_score,quality_tier
上海古籍出版社,8,8.9,8.887222700439207,71815,20.0,1998-2009,"['人间词话', '孙子兵法', '中国近代史', '陶庵梦忆 西湖梦寻', '闲情偶寄', '浮生六记', '阅微草堂笔记', '中国通史']",8.527755012996987,优秀
山西古籍出版社,4,9.25,9.21926171711577,13008,8.0,2003-2004,"['世说新语', '楚辞', '诗经', '老子']",8.519315421992172,卓越
新世纪出版社,12,8.758333333333333,8.745961578678397,86165,18.0,2008-2014,"['子不语 1-2', '子不语3', '哥斯拉不说话', '长歌行 01', '长歌行 02', '长歌行 03', '长歌行 04', '夏达短篇漫画集(共2册)', '长安幻夜(1)(2)', '长歌行 05', '长歌行 06', '溯空']",8.51550440769409,优秀
天地出版社,10,8.790000000000001,8.776736873923166,53073,36.0,2005-2019,"['基地', '基地与帝国', '第二基地', '遗落的南境1：湮灭', '汴京之围', '成为', '基地前传1·基地前奏（上下）', '基地前传2·迈向基地（上下）', '基地续集1·基地边缘（上下）', '基地续集2·基地与地球（上下）']",8.507443281929831,优秀
茜新社,3,9.4,9.368582553466235,11182,650.0,2007-2010,"['同級生', '卒業生−春− ＥＤＧＥＣＯＭＩＸ', '卒業生−冬− ＥＤＧＥＣＯＭＩＸ']",8.49831677315282,卓越
生活·读书·新知三联书店,166,8.513253012048192,8.50530868980428,2179273,28.0,1979-2018,"['我们仨', '目送', '万历十五年', '向左走·向右走', '天龙八部', '笑傲江湖（全四册）', '神雕侠侣', '射雕英雄传（全四册）', '孩子你慢慢来', '倚天屠龙记(共四册)', '中国历代政治得失', '我们仨', '历史深处的忧虑', '邓小平时代', '围城', '巨流河', '中国大历史', '带一本书去巴黎', '雪山飞狐', '连城诀', '射雕英雄传', '总统是靠不住的', '倚天屠龙记', '美的历程', '城门开', '月亮忘记了', '飞狐外传', '听幾米唱歌', '听幾米唱歌', '野火集', '侠客行', '我也有一个梦想', '我怎样毁了我的一生', '鹿鼎记', '上学记', '碧血剑（上下）', '书剑恩仇录(上下)', '西班牙旅行笔记', '天朝的崩溃', '傅雷家书', '河童旅行素描本', '如彗星划过夜空', '人·兽·鬼', '向左走·向右走', '书剑恩仇录', '碧血剑', '别闹了，费曼先生', '查拉图斯特拉如是说', '写在人生边上 人生边上的边上 石语', '八十年代访谈录', '森林唱游', '窥视印度', '人类的群星闪耀时（增订版）', '城记', '扫起落叶好过冬', '疯癫与文明', '洞穴奇案', '像自由一样美丽', '创意市集', '规训与惩罚', '赫逊河畔谈中国历史', '我在伊朗长大', '路西法效应', '悲剧的诞生', '新教伦理与资本主义精神', '中国历代政治得失', '七十年代', '死在这里也不错', '中国国家治理的制度逻辑', '连城诀', '宽容', '门萨的娼妓', '飞狐外传（上下册）', '设计私生活', '雪山飞狐', '干校六记', '窥视日本', '昨日的世界', '半饱', '鹿鼎记（全五册）', '岁朝清供', '存在与时间', '陈寅恪的最后20年', '北欧，冰与火之地的寻真之旅', '回家真好', '两个人住', '万历十五年', '黄河青山', '河童杂记本', '天朝的崩溃（修订版）', '当我们旅行', '将饮茶', '窥视工作间', '超越死亡', '胡雪岩（全三册）', '一路走来一路读 （增补本）', '金庸全集', '忧郁的热带', '文心', '创意市集2·玩心大发', '设计，不安于室', '听杨绛谈往事', '极权主义的起源', '我们仨', '从卡夫卡到昆德拉', '给青年艺术家的信', '日本四季', '香港味道1', '历史深处的忧虑', '洞穴奇案', '西行漫记', '花间十六声', '宋诗选注', '宋诗选注', '中国现代国家的起源', '人在欧洲', '人类的故事', '我在伊朗长大1', '人类的群星闪耀时', '香港味道2', '百变小红帽', '巨流河', '昨天的云', '合肥四姊妹', '中国哲学简史', '洗澡', '斐多', '中国古建筑二十讲', '金翼', '万历十五年', '罗摩桥', '别闹了，费曼先生', '上学记', '写给大家的中国美术史', '干校六记', '梦·想家', '猎人们', '国史新论', '学术与政治', '我们仨', '行走台湾', '寻常放荡', '给一个青年诗人的十封信', '英国人的言行潜规则', '吃，吃的笑', '艺术的故事', '资本主义与二十一世纪', '京都一年', '月亮忘记了', '二十位人性见证者', '放大意大利', '侠客行(上下)', '写在人生边上 写在人生边上的边上 石语', '疯狂实验史', '社会学的想像力', '秦崩', '存在与虚无', '查拉图斯特拉如是说', '世界美术名作二十讲', '庄子说', '电影×音乐', '七缀集', '跨越边界的社区（修订版）', '巴黎的忧郁', '关于来洛尼亚王国的十三个童话故事', '图说中国绘画史']",8.490030263571118,优秀
Scholastic,4,9.15,9.122417973885897,13179,10.49,1999-2004,"['Harry Potter and the Sorcerer&#39;s Stone', 'Harry Potter And The Chamber Of Secrets', 'Harry Potter and the Goblet of Fire', 'Charlotte&#39;s Web']",8.48951734715221,卓越
四川科学技术出版社,21,8.609523809523811,8.599881644249448,163268,21.0,2003-2016,"['球状闪电', '银河系漫游指南', '安德的游戏', '天意', '美国众神', '你一生的故事', '真名实姓', '死者代言人', '深渊上的火', '计算中的上帝', '热夜之梦', '宇宙尽头的餐馆', '沙丘', '安德的影子', '好兆头', '群星，我的归宿', '坟场之书', '星船伞兵', '童年的终结', '球状闪电', '天渊']",8.482385604889119,优秀
新經典圖文傳播有限公司,5,8.98,8.95726117300468,22564,200.0,2010-2012,"['青春', '深夜食堂 01', '深夜食堂 07', '深夜食堂 10', '深夜食堂 08']",8.475739963032755,优秀
黑龙江美术出版社,15,8.646666666666667,8.634004957311907,90743,25.0,2005-2011,"['那些生命中温暖而美好的事情', '我的路3', '我的路4', '我的路5', '风色四叶草', '玛塔', '踮脚张望1', '未成年（1、2、3）', '寂地', '超合金社团（1、2）', '飞翔的猫', '玛塔·黄金国历险记1', '长安幻夜', '踮脚张望2', '我的路6']",8.474338665713073,优秀
